2026-05-07 15:58:37,842 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:58:37,949 | WARNING | aiogram.dispatcher | Sleep for 5.059589 seconds and try again... (tryings = 70, bot id = 8547453594)
2026-05-07 15:59:05,630 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:59:05,638 | WARNING | aiogram.dispatcher | Sleep for 5.119233 seconds and try again... (tryings = 71, bot id = 8547453594)
2026-05-07 15:59:32,424 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:59:32,735 | WARNING | aiogram.dispatcher | Sleep for 4.978795 seconds and try again... (tryings = 72, bot id = 8547453594)
2026-05-07 15:59:59,624 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 16:00:00,185 | WARNING | aiogram.dispatcher | Sleep for 4.989088 seconds and try again... (tryings = 73, bot id = 8547453594)
2026-05-07 16:00:27,335 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 16:00:27,564 | WARNING | aiogram.dispatcher | Sleep for 5.136625 seconds and try again... (tryings = 74, bot id = 8547453594)
2026-05-07 16:00:55,915 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 16:00:55,926 | WARNING | aiogram.dispatcher | Sleep for 5.021701 seconds and try again... (tryings = 75, bot id = 8547453594)
2026-05-07 16:01:22,450 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 16:01:22,661 | WARNING | aiogram.dispatcher | Sleep for 4.991072 seconds and try again... (tryings = 76, bot id = 8547453594)
2026-05-07 16:01:49,335 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
